Well,Threshold Cycle
A1,23.44
A2,23.9
A3,24.39
A4,19.57
A5,19.4
A6,19.03
A7,25.94
A8,26.19
A9,25.18
A10,19.82
A11,19.79
A12,19.82
B1,24.28
B2,24.22
B3,24.22
B4,20.46
B5,19.9
B6,20.29
B7,25.89
B8,25.6
B9,26.02
B10,20.49
B11,20.59
B12,20.34
C1,22.75
C2,22.72
C3,22.65
C4,18.47
C5,18.62
C6,18.35
C7,24.85
C8,25.34
C9,24.75
C10,19.93
C11,19.34
C12,19.27
D1,25.37
D2,25.55
D3,25.15
D4,20.84
D5,21.12
D6,20.93
D7,N/A
D8,23.95
D9,24.16
D10,18.92
D11,18.82
D12,18.66
E1,22.73
E2,22.91
E3,22.9
E4,19.45
E5,18.89
E6,18.97
E7,24.7
E8,24.63
E9,24.68
E10,19.65
E11,19.87
E12,19.45
F1,24.06
F2,24.39
F3,24.63
F4,20
F5,20.33
F6,20.1
F7,23.5
F8,23.35
F9,23.46
F10,18.72
F11,19.04
F12,18.35
G1,24.65
G2,24.14
G3,24.23
G4,20.3
G5,20.4
G6,20.7
G7,N/A
G8,N/A
G9,N/A
G10,N/A
G11,N/A
G12,N/A
H1,N/A
H2,N/A
H3,N/A
H4,N/A
H5,N/A
H6,N/A
H7,N/A
H8,N/A
H9,N/A
H10,N/A
H11,N/A
H12,N/A
