Well,Threshold Cycle        Ct
A1,22.07
A2,21.84
A3,23.11
A4,23.11
A5,23.22
A6,23.6
A7,24.62
A8,25.17
A9,24.22
A10,22.99
A11,23.03
A12,23.43
B1,21.64
B2,22.15
B3,22.15
B4,24.02
B5,24.53
B6,24.75
B7,23.32
B8,23.24
B9,23.53
B10,23.01
B11,23.56
B12,23.72
C1,22.04
C2,22.47
C3,22.2
C4,22.82
C5,23.12
C6,23.6
C7,24.67
C8,24.3
C9,24.63
C10,23.09
C11,23.46
C12,23.74
D1,24.11
D2,24.83
D3,25.41
D4,27.89
D5,27.03
D6,27.84
D7,N/A
D8,N/A
D9,N/A
D10,N/A
D11,N/A
D12,N/A
E1,16.87
E2,17.82
E3,17.81
E4,18.76
E5,18.57
E6,19.12
E7,20.21
E8,19.62
E9,19.01
E10,18.72
E11,18.82
E12,18.83
F1,17.33
F2,17.74
F3,18
F4,18.61
F5,19.5
F6,19.56
F7,19.07
F8,18.26
F9,18.72
F10,18.67
F11,18.64
F12,19.01
G1,17.68
G2,17.89
G3,18.1
G4,18.62
G5,18.79
G6,19.41
G7,19.13
G8,19.5
G9,19.17
G10,19.08
G11,20.22
G12,19.29
H1,17.9
H2,17.86
H3,17.88
H4,20.96
H5,21.44
H6,22.93
H7,N/A
H8,N/A
H9,N/A
H10,N/A
H11,N/A
H12,N/A
